id_asset,exchange,shortname,quoteType,symbol,index,score,typeDisp,longname
FI0009000681,HEL,Nokia Corporation,EQUITY,NOKIA.HE,quotes,20007.0,Equity,Nokia Corporation
GB0005405286,LSE,HSBC HOLDINGS PLC ORD $0.50 (UK,EQUITY,HSBA.L,quotes,20005.0,Equity,HSBC Holdings plc
GB0007188757,LSE,RIO TINTO PLC ORD 10P,EQUITY,RIO.L,quotes,20007.0,Equity,Rio Tinto Group
GB00BDSFG982,NYQ,TechnipFMC plc,EQUITY,FTI,quotes,20005.0,Equity,TechnipFMC plc
FR0000031122,PAR,AIR FRANCE -KLM,EQUITY,AF.PA,quotes,20146.0,Equity,Air France-KLM SA
FR0000031577,PAR,VIRBAC,EQUITY,VIRP.PA,quotes,20013.0,Equity,Virbac SA
FR0000031684,PAR,ROTHSCHILD & CO,EQUITY,ROTH.PA,quotes,20003.0,Equity,Rothschild & Co SCA
FR0000031775,PAR,VICAT,EQUITY,VCT.PA,quotes,20002.0,Equity,Vicat SA
FR0000032278,PAR,LATECOERE,EQUITY,LAT.PA,quotes,20020.0,Equity,Latécoère S.A.
FR0000032302,PAR,MANUTAN INTL,EQUITY,MAN.PA,quotes,20023.0,Equity,Manutan International S.A.
FR0000032658,PAR,SYNERGIE,EQUITY,SDG.PA,quotes,20001.0,Equity,Synergie SE
FR0000033219,PAR,ALTAREA,EQUITY,ALTA.PA,quotes,20009.0,Equity,Altarea SCA
FR0000033599,PAR,LEXIBOOK LINGUIST.,EQUITY,ALLEX.PA,quotes,20001.0,Equity,Lexibook - Linguistic Electronic System Société anonyme
FR0000033904,PAR,JACQUET METALS,EQUITY,JCQ.PA,quotes,20003.0,Equity,Jacquet Metals SA
FR0000035164,PAR,BENETEAU,EQUITY,BEN.PA,quotes,20025.0,Equity,Bénéteau S.A.
FR0000036675,PAR,GROUPE CRIT,EQUITY,CEN.PA,quotes,20012.0,Equity,Groupe CRIT SA
FR0000038242,PAR,LUMIBIRD,EQUITY,LBIRD.PA,quotes,20006.0,Equity,Lumibird SA
FR0000038259,PAR,EUROFINS SCIENT.,EQUITY,ERF.PA,quotes,20030.0,Equity,Eurofins Scientific SE
FR0000038606,PAR,MANITOU BF,EQUITY,MTU.PA,quotes,20001.0,Equity,Manitou BF SA
FR0000039109,PAR,SECHE ENVIRONNEM.,EQUITY,SCHP.PA,quotes,20004.0,Equity,Séché Environnement SA
FR0000039299,PAR,BOLLORE,EQUITY,BOL.PA,quotes,20016.0,Equity,BollorÃ© SE
FR0000039620,PAR,MERSEN,EQUITY,MRN.PA,quotes,20007.0,Equity,Mersen SA
FR0000044448,PAR,NEXANS,EQUITY,NEX.PA,quotes,20003.0,Equity,Nexans S.A.
FR0000044471,PAR,RAMSAY GEN SANTE,EQUITY,GDS.PA,quotes,20002.0,Equity,Ramsay Générale de Santé SA
FR0000045072,PAR,CREDIT AGRICOLE,EQUITY,ACA.PA,quotes,20192.0,Equity,CrÃ©dit Agricole S.A.
FR0000050353,PAR,LISI,EQUITY,FII.PA,quotes,20008.0,Equity,Lisi S.A.
FR0000050809,PAR,SOPRA STERIA GROUP,EQUITY,SOP.PA,quotes,20035.0,Equity,Sopra Steria Group SA
FR0000051070,PAR,MAUREL ET PROM,EQUITY,MAU.PA,quotes,20012.0,Equity,Etablissements Maurel & Prom S.A.
FR0000051732,PAR,ATOS,EQUITY,ATO.PA,quotes,20034.0,Equity,Atos SE
FR0000051807,PAR,TELEPERFORMANCE,EQUITY,TEP.PA,quotes,20037.0,Equity,Teleperformance SE
FR0000052292,PAR,HERMES INTL,EQUITY,RMS.PA,quotes,20116.0,Equity,Hermès International Société en commandite par actions
FR0000052516,PAR,VILMORIN & CIE,EQUITY,RIN.PA,quotes,20010.0,Equity,Vilmorin & Cie SA
FR0000052680,PAR,OENEO,EQUITY,SBT.PA,quotes,20001.0,Equity,Oeneo SA
FR0000052870,PAR,XPO LOGISTICS,EQUITY,XPO.PA,quotes,20001.0,Equity,XPO Logistics Europe SA
FR0000053027,PAR,AKWEL,EQUITY,AKW.PA,quotes,20002.0,Equity,AKWEL
FR0000053225,PAR,METROPOLE TV,EQUITY,MMT.PA,quotes,20024.0,Equity,Métropole Télévision S.A.
FR0000053324,PAR,ALPES (COMPAGNIE),EQUITY,CDA.PA,quotes,20084.0,Equity,Compagnie des Alpes SA
FR0000053381,PAR,DERICHEBOURG,EQUITY,DBG.PA,quotes,20011.0,Equity,Derichebourg SA
FR0000053399,PAR,CNIM GROUP,EQUITY,COM.PA,quotes,20019.0,Equity,CNIM Groupe SA
FR0000053506,PAR,CEGEDIM,EQUITY,CGM.PA,quotes,20002.0,Equity,Cegedim SA
FR0000053837,PAR,ALTAMIR,EQUITY,LTA.PA,quotes,20002.0,Equity,Altamir SCA
FR0000054470,PAR,UBISOFT ENTERTAIN,EQUITY,UBI.PA,quotes,20023.0,Equity,Ubisoft Entertainment SA
FR0000054900,PAR,TF1,EQUITY,TFI.PA,quotes,20023.0,Equity,Télévision Française 1 Société anonyme
FR0000060329,PAR,PSB INDUSTRIES,EQUITY,PSB.PA,quotes,20003.0,Equity,PSB Industries
FR0000060402,PAR,ALBIOMA,EQUITY,ABIO.PA,quotes,20017.0,Equity,Albioma
FR0000060618,PAR,RALLYE,EQUITY,RAL.PA,quotes,20007.0,Equity,Rallye SA
FR0000060873,PAR,MBWS,EQUITY,MBWS.PA,quotes,20003.0,Equity,Marie Brizard Wine & Spirits SA
FR0000061129,PAR,BOIRON,EQUITY,BOI.PA,quotes,20014.0,Equity,Boiron SA
FR0000062234,PAR,FINANCIERE ODET,EQUITY,ODET.PA,quotes,20001.0,Equity,FinanciÃ¨re de l'Odet SA
FR0000062671,PAR,GROUPE GORGE,EQUITY,GOE.PA,quotes,20001.0,Equity,Groupe GorgÃ© SA
FR0000062796,PAR,VRANKEN-POMMERY,EQUITY,VRAP.PA,quotes,20001.0,Equity,Vranken-Pommery Monopole Société Anonyme
FR0000063737,PAR,AUBAY,EQUITY,AUB.PA,quotes,20002.0,Equity,Aubay Société Anonyme
FR0000063935,PAR,BONDUELLE,EQUITY,BON.PA,quotes,20025.0,Equity,Bonduelle SCA
FR0000064271,PAR,STEF,EQUITY,STF.PA,quotes,20027.0,Equity,STEF SA
FR0000064446,PAR,CATERING INTL SCES,EQUITY,CTRG.PA,quotes,20001.0,Equity,Catering International & Services Société Anonyme
FR0000064784,PAR,FFP,EQUITY,FFP.PA,quotes,20008.0,Equity,FFP Société anonyme
FR0000065484,PAR,LECTRA,EQUITY,LSS.PA,quotes,20004.0,Equity,Lectra SA
FR0000066672,PAR,GL EVENTS,EQUITY,GLO.PA,quotes,20008.0,Equity,GL Events SA
FR0000066755,PAR,HAULOTTE GROUP,EQUITY,PIG.PA,quotes,20001.0,Equity,Haulotte Group SA
FR0000071946,PAR,ALTEN,EQUITY,ATE.PA,quotes,20027.0,Equity,Alten S.A.
FR0000072399,PAR,BELIER,EQUITY,BELI.PA,quotes,20001.0,Equity,Le BÃ©lier SA
FR0000073041,PAR,PIERRE VACANCES,EQUITY,VAC.PA,quotes,20001.0,Equity,Pierre et Vacances SA
FR0000073272,PAR,SAFRAN,EQUITY,SAF.PA,quotes,20091.0,Equity,Safran SA
FR0000073298,PAR,IPSOS,EQUITY,IPS.PA,quotes,20016.0,Equity,Ipsos SA
FR0000074072,PAR,BIGBEN INTERACTIVE,EQUITY,BIG.PA,quotes,20004.0,Equity,BigBen Interactive
FR0000074148,PAR,ASSYSTEM,EQUITY,ASY.PA,quotes,20002.0,Equity,Assystem S.A.
FR0000074783,PAR,ARTMARKET COM,EQUITY,PRC.PA,quotes,20001.0,Equity,Artprice.com
FR0000075442,PAR,GROUPE LDLC,EQUITY,ALLDL.PA,quotes,20004.0,Equity,Groupe LDLC société anonyme
FR0000076655,PAR,ACTIA GROUP,EQUITY,ATI.PA,quotes,20012.0,Equity,ACTIA Group S.A.
FR0000077919,PAR,JC DECAUX SA.,EQUITY,DEC.PA,quotes,20016.0,Equity,JCDecaux SA
FR0000079634,PAR,GECI INTL,EQUITY,GECP.PA,quotes,20015.0,Equity,GECI International S.A.
FR0000120073,PAR,AIR LIQUIDE,EQUITY,AI.PA,quotes,20169.0,Equity,L'Air Liquide S.A.
FR0000120107,PAR,SAVENCIA,EQUITY,SAVE.PA,quotes,20001.0,Equity,Savencia SA
FR0000120172,PAR,CARREFOUR,EQUITY,CA.PA,quotes,20077.0,Equity,Carrefour SA
FR0000120222,PAR,CNP ASSURANCES,EQUITY,CNP.PA,quotes,20008.0,Equity,CNP Assurances SA
FR0000120271,PAR,TOTAL,EQUITY,FP.PA,quotes,20465.0,Equity,TOTAL SE
